RFSS,Site Dec,Site Hex,Site NAC,Description,County Name,Lat,Lon,Range,Frequencies,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,23,17,40C,Reno,Houston,43.55058,-91.36147,20,857.712500c,852.65,854.9875,855.2375,855.7125,,,,,,,,,,,,,,,,,,,,,,,
3,24,18,40d,Spring Grove,Houston,43.57031,-91.61175,20,852.150000c,851.725,852.4375,853.1,853.4375,,,,,,,,,,,,,,,,,,,,,,,
3,25,19,,Dodge - Steele Co. Simulcast ,Steele,44.02,-93.0510314,27,854.1125,854.637500c,856.0125,857.0375,859.0375,851.4,851.875,852.375,853.05,853.55,853.85,854.3875,857.9375,858.937500c,,,,,,,,,,,,,,
3,26,1A,,Gibbon,Sibley,44.58536,-94.58194,20,851.625,851.95,852.312500c,852.600000c,853.0625,853.5625,,,,,,,,,,,,,,,,,,,,,,
3,27,1B,,Gaylord,Sibley,44.55319,-94.2085,20,853.9,853.625000c,852.975,852.725,852.125000c,851.775,,,,,,,,,,,,,,,,,,,,,,
3,28,1C,,Evan,Brown,44.39861,-94.81625,20,852.4,852.900000c,856.437500c,858.7625,859.7625,851.9,859.7625,,,,,,,,,,,,,,,,,,,,,
3,29,1D,,New Ulm,Brown,44.27722,-94.44089,20,851.4875,851.9875,852.425,852.787500c,853.100000c,853.4875,851.675,,,,,,,,,,,,,,,,,,,,,
3,30,1E,,La Salle,Watonwan,44.05208,-94.5255,20,851.9125,852.9625,854.9875,858.937500c,859.937500c,851.2875,,,,,,,,,,,,,,,,,,,,,,
3,31,1F,,Janesville,Waseca,44.08778,-93.70167,20,857.4375,853.9125,853.4125,852.8875,852.3875,851.750000c,851.4125,,,,,,,,,,,,,,,,,,,,,
3,32,20,,LeCenter,Le Sueur,44.35244,-93.67981,20,853.5,852.85,852.375,852.175,851.825,,,,,,,,,,,,,,,,,,,,,,,
3,33,21,,Albert Lea,Freeborn,43.64583,-93.3675,20,856.4625,853.7875,851.8125,851.5625,851.3875,851.137500c,,,,,,,,,,,,,,,,,,,,,,
3,34,22,,Glenville,Freeborn,43.543025,-93.239774,20,852.7375,852.5375,852.225000c,852.037500c,851.7875,851.462500c,,,,,,,,,,,,,,,,,,,,,,
3,35,23,,Faribault - Prison,Rice,44.28456,-93.25347,10,859.937500c,858.437500c,856.9375,856.2375,,,,,,,,,,,,,,,,,,,,,,,,
3,36,24,,Red Wing - Prison,Goodhue,44.5624676,-92.5338013,10,859.437500c,854.9625,857.7625,858.7625,,,,,,,,,,,,,,,,,,,,,,,,
3,40,28,,Goodhue Co. Simulcast,Goodhue,44.33,-92.65,40,851.425000c,851.7125,852.45,852.75,852.9,853.1,853.4,851.487500c,851.975000c,853.675,851.675,853.7,854.3625,,,,,,,,,,,,,,,
3,41,29,401,Olmsted Co. Simulcast,Olmsted,44.012571,-92.414246,20,857.4875,858.4875,851.05,851.15,851.3,851.537500c,853.2625,853.512500c,853.612500c,853.775,859.4875,,,,,,,,,,,,,,,,,
3,42,2A,,Wabasha Co. - Simulcast,Wabasha,44.26592,-92.18939,30,856.212500c,851.3875,851.85,852.4125,853.9125,856.2125,857.2125,858.2125,854.662500c,,,,,,,,,,,,,,,,,,,
3,43,2B,405,Nicollet Co. - Simulcast,Nicollet,44.2,-94.1,30,851.15,851.2,851.550000c,851.825,851.925,852.825000c,852.85,853.075,853.5,853.725,,,,,,,,,,,,,,,,,,
3,44,2C,,Rice Co. - Simulcast,Rice,44.35,-93.33355,25,852.15,852.3,852.4,852.55,852.65,852.875,853.675,851.1,851.800000c,851.975000c,,,,,,,,,,,,,,,,,,
3,45,2D,,McLeod Co. - Simulcast,McLeod,44.82,-94.27,20,851.4,852.1,852.4625,852.750000c,853.125000c,853.4,851.075,,,,,,,,,,,,,,,,,,,,,
3,49,31,409,La Crescent - Simulcast,Houston,43.828,-91.304,30,856.2625,857.987500c,858.7125,859.4375,852.4625,853.4625,,,,,,,,,,,,,,,,,,,,,,
3,75,4B,,Faimont ,Martin,43.63017,-94.53667,20,851.8,852.150000c,857.4875,857.937500c,858.4375,851.1125,,,,,,,,,,,,,,,,,,,,,,
3,76,4C,,Sherburn,Martin,43.65283,-94.75369,20,851.975000c,852.375,852.975000c,856.2625,856.7625,851.3625,,,,,,,,,,,,,,,,,,,,,,
3,77,4D,,Truman,Watonwan,43.850388,-94.429041,20,851.425,851.725000c,852.875000c,853.425,857.7125,858.7125,,,,,,,,,,,,,,,,,,,,,,
3,78,4E,,Blue Earth,Faribault,43.6545,-94.10019,20,859.487500c,858.4875,853.4625,852.3,851.887500c,,,,,,,,,,,,,,,,,,,,,,,
3,79,4F,,Walters,Faribault,43.60183,-93.74742,20,856.4375,855.4875,853.400000c,852.9375,852.4375,851.437500c,,,,,,,,,,,,,,,,,,,,,,
3,80,50,,Alden,Freeborn,43.65203,-93.54756,20,859.7125,858.9625,858.4625,857.9625,856.7125,856.962500c,,,,,,,,,,,,,,,,,,,,,,
3,81,51,,Mapleton,Blue Earth,43.91047,-94.05283,20,856.937500c,851.9625,852.4625,855.712500c,856.2125,851.175,,,,,,,,,,,,,,,,,,,,,,
3,82,52,,Waldorf,Waseca,43.92744,-93.66811,20,851.475,852.4125,852.912500c,853.8875,856.4875,851.3125,,,,,,,,,,,,,,,,,,,,,,
3,83,53,,Harmony,Fillmore,43.54439,-92.00917,20,851.4375,851.8,851.987500c,852.325000c,852.9875,,,,,,,,,,,,,,,,,,,,,,,
3,85,55,,Perth,Blue Earth,44.051618,-94.301357,20,852.4875,852.9875,857.237500c,858.212500c,859.9875,851.5875,,,,,,,,,,,,,,,,,,,,,,
3,86,56,,LeRoy,Fillmore,43.54561,-92.47,20,852.3875,852.8875,853.4875,853.875000c,854.9625,,,,,,,,,,,,,,,,,,,,,,,
3,92,5C,,Winona,Winona,44.03133,-91.65097,20,851.2625,852.075,852.8125,853.175,853.3,853.650000c,,,,,,,,,,,,,,,,,,,,,,
4,1,1,40D,Benson,Swift,45.31833,-95.56111,20,856.437500c,857.4375,858.4375,859.4375,860.437500c,,,,,,,,,,,,,,,,,,,,,,,
4,2,2,409,Browns Valley,Traverse,45.60031,-96.81589,20,854.987500c,856.237500c,857.2375,858.2375,859.2375,860.2375,,,,,,,,,,,,,,,,,,,,,,
4,3,3,401,Appleton,Swift,45.183,-96.002,20,851.1375,851.562500c,851.8625,853.362500c,853.75,,,,,,,,,,,,,,,,,,,,,,,
4,4,4,408,Freeport,Stearns,45.70333,-94.70456,20,857.262500c,858.2625,859.2625,860.262500c,856.2625,857.0125,,,,,,,,,,,,,,,,,,,,,,
4,5,5,405,Breckenridge,Wilkin,46.26028,-96.58694,15,854.0125,854.4875,856.0125,857.037500c,859.112500c,,,,,,,,,,,,,,,,,,,,,,,
4,6,6,409,Glenwood,Pope,45.66847,-95.38186,20,859.2125,853.4125,852.912500c,852.4125,851.9125,851.412500c,,,,,,,,,,,,,,,,,,,,,,
4,7,7,408,Herman,Grant,45.79367,-96.12914,20,857.462500c,855.4625,856.9375,858.4625,859.462500c,860.4625,851.125,,,,,,,,,,,,,,,,,,,,,
4,8,8,40D,Hoffman,Grant,45.83167,-95.72111,20,853.85,860.9375,859.9375,857.937500c,856.4625,858.937500c,,,,,,,,,,,,,,,,,,,,,,
